iter	Passed	Remaining
859	55610	9052
860	55675	8988
861	55735	8922
862	55803	8858
863	55867	8793
864	55931	8729
865	55995	8664
866	56062	8600
867	56128	8535
868	56193	8471
869	56257	8406
870	56323	8341
871	56393	8277
872	56465	8214
873	56529	8149
874	56596	8085
875	56659	8020
876	56724	7955
877	56790	7891
878	56853	7826
879	56915	7761
880	56980	7696
881	57046	7632
882	57105	7566
883	57171	7502
884	57241	7438
885	57308	7373
886	57368	7308
887	57441	7244
888	57513	7181
889	57574	7115
890	57637	7051
891	57704	6986
892	57767	6921
893	57831	6857
894	57894	6792
895	57954	6726
896	58026	6663
897	58095	6598
898	58158	6533
899	58222	6469
900	58288	6404
901	58349	6339
902	58414	6274
903	58485	6210
904	58552	6146
905	58618	6081
906	58680	6016
907	58746	5952
908	58817	5888
909	58879	5823
910	58944	5758
911	59009	5693
912	59077	5629
913	59144	5565
914	59210	5500
915	59275	5435
916	59339	5370
917	59400	5305
918	59465	5241
919	59532	5176
920	59595	5111
921	59661	5047
922	59726	4982
923	59791	4917
924	59847	4852
925	59909	4787
926	59974	4722
927	60038	4658
928	60103	4593
929	60165	4528
930	60231	4463
931	60294	4399
932	60358	4334
933	60424	4269
934	60489	4205
935	60548	4140
936	60618	4075
937	60685	4011
938	60747	3946
939	60804	3881
940	60868	3816
941	60930	3751
942	60985	3686
943	61046	3621
944	61109	3556
945	61176	3492
946	61239	3427
947	61303	3362
948	61366	3297
949	61431	3233
950	61496	3168
951	61559	3103
952	61621	3039
953	61687	2974
954	61752	2909
955	61817	2845
956	61876	2780
957	61940	2715
958	62007	2650
959	62074	2586
960	62142	2521
961	62205	2457
962	62270	2392
963	62336	2327
964	62403	2263
965	62472	2198
966	62535	2134
967	62603	2069
968	62668	2004
969	62733	1940
970	62802	1875
971	62866	1810
972	62929	1746
973	62989	1681
974	63053	1616
975	63120	1552
976	63190	1487
977	63252	1422
978	63317	1358
979	63383	1293
980	63446	1228
981	63510	1164
982	63580	1099
983	63643	1034
984	63708	970
985	63774	905
986	63838	840
987	63904	776
988	63966	711
989	64036	646
990	64100	582
991	64171	517
992	64238	452
993	64300	388
994	64369	323
995	64431	258
996	64496	194
997	64563	129
998	64629	64
999	64693	0
